序号,标题,URL
Paper Cover,Paper Cover,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trb.2026.103481/Paper%20Cover.png
Fig 1,"Fig. 1. Toll allocation provided by the SES method (circle), SPS method (diamond) and SCS method (square) for the AP68 highway segments. The 
segment with the highest toll is marked in green, while the segment with the lowest toll is shown in red. (For interpretation of the references to 
colour in this ﬁgure legend, the reader is referred to the web version of this article.)",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trb.2026.103481/Fig%201.png
Fig 3,"Fig. 3. Lorenz curves and Gini index for the SES, SPS and SCS methods.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trb.2026.103481/Fig%203.png
Fig 2,"Fig. 2. Correlations between the SES, SPS and SCS methods.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trb.2026.103481/Fig%202.png
Table 1,Table 1  Overview of the properties and the axiomatizations for the high- way toll allocation methods and the core for the segments allocation  game.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trb.2026.103481/Table%201.png
Table 2,Table 2  Segments of the highway AP68.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trb.2026.103481/Table%202.png
Table 3,Table 3  Toll allocation methods for the highway AP68.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trb.2026.103481/Table%203.png
Table 4,Table 4  Ranking of the AP68 highway segments.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trb.2026.103481/Table%204.png
Table 5,Table 5  Spearman’s correlation matrix  (lower triangular matrix) and  Pearson’s correlation matrix (up- per triangular matrix) for the toll  allocations.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trb.2026.103481/Table%205.png
