序号,标题,URL
Paper Cover,Paper Cover,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105479/Paper%20Cover.png
Fig 1,Fig. 1. Study workflow diagram of the study.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105479/Fig%201.png
Fig 2,"Fig. 2. Causal mediation pathway linking road features, behavior, and crash risk.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105479/Fig%202.png
Fig 3,Fig. 3. Study roadway segments across six Florida counties.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105479/Fig%203.png
Fig 4,Fig. 4. Illustration of GSV segments extraction for each roadway.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105479/Fig%204.png
Fig 5,"Fig. 5. Hard acceleration, braking and turn identification with dynamic threshold.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105479/Fig%205.png
Fig 6,Fig. 6. High and low risky roadway segments across six Florida counties.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105479/Fig%206.png
Fig 7,Fig. 7. Top-10 important variables for crash risk classification model and their SHAP values based on double-layer meta-soft voting model.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105479/Fig%207.png
Fig 8,Fig. 8. SHAP dependence plots for the top-10 important variables.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105479/Fig%208.png
Fig 9,Fig. 9. Visualization of mediation effects of operation speed affected by posted speed limit.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105479/Fig%209.png
Fig 10,Fig. 10. Visualization of mediation effects of speed deviation affected by posted speed limit.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105479/Fig%2010.png
Fig 11,Fig. 11. Visualization of mediation effects of operating speed affected by building proportion.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105479/Fig%2011.png
Fig 12,Fig. 12. Visualization of mediation effects of speed deviation affected by building proportion.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105479/Fig%2012.png
Table 1,Table 1  Mathematical formulation of base models used in the study.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105479/Table%201.png
Table 2,Table 2  Description and statistics of crash rate and explanatory variables.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105479/Table%202.png
Table 3,Table 3  Mann-Whitney U test for high- and low-risk segments.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105479/Table%203.png
Table 4,Table 4  Experiment results of different crash risk classification models.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105479/Table%204.png
Table 5,Table 5  Mediation effects of operation speed affected by posted speed limit based on Causal mediation DML method.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105479/Table%205.png
Table 6,Table 6  Mediation effects of speed deviation affected by posted speed limit based on Causal mediation DML method.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105479/Table%206.png
Table 7,Table 7  Mediation effects of operation speed affected by building proportions based on Causal mediation DML method.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105479/Table%207.png
Table 8,Table 8  Mediation effects of speed deviation affected by building proportions based on Causal mediation DML method.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105479/Table%208.png
