序号,标题,URL
Paper Cover,Paper Cover,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105585/Paper%20Cover.png
Fig 1,Fig. 1. Optimization model for aircraft taxiing timing prediction and conﬂict avoidance.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105585/Fig%201.png
Fig 2,Fig. 2. Four common types of ADS-B data problems.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105585/Fig%202.png
Fig 3,Fig. 3. Shanghai Pudong airport ﬁeld taxiing area delineation results.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105585/Fig%203.png
Fig 4,Fig. 4. Results of taxi path clustering within region 1 and with neighboring regions.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105585/Fig%204.png
Fig 5,Fig. 5. 1-34L clustering results subdivision.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105585/Fig%205.png
Fig 6,"Fig. 6. 63 major taxi paths at Pudong airport in Shanghai, China.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105585/Fig%206.png
Fig 7,Fig. 7. Enhanced PatchTST for node arrival time prediction (EPNATP) architecture.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105585/Fig%207.png
Fig 8,Fig. 8. Attention-guided taxiing conﬂict optimization model (ATCOM) architecture.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105585/Fig%208.png
Fig 9,Fig. 9. Algorithm ﬂow chart.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105585/Fig%209.png
Fig 10,Fig. 10. Average taxiing speed of 63 paths.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105585/Fig%2010.png
Fig 11,Fig. 11. Silhouette coeﬃcients for diﬀerent numbers of clusters.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105585/Fig%2011.png
Fig 12,Fig. 12. Comparison of clustering results between k-means and DBSCAN in the 1-16L region.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105585/Fig%2012.png
Fig 13,"Fig. 13. Analysis of forecast errors at Pudong airport, China.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105585/Fig%2013.png
Fig 14,Fig. 14. Comparison of diﬀerent input and output lengths.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105585/Fig%2014.png
Fig 15,Fig. 15. Aircraft conﬂict hotspots at Pudong airport in the past 4 months.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105585/Fig%2015.png
Fig 16,Fig. 16. Validation of conﬂict avoidance models in taxi path slicing scenarios.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105585/Fig%2016.png
Fig 17,Fig. 17. Iterative result curve.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105585/Fig%2017.png
Fig 18,Fig. 18. Aircraft surface taxi track.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105585/Fig%2018.png
Fig 19,Fig. 19. Cluster results of Shanghai Hongqiao airport.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105585/Fig%2019.png
Table 1,Table 1  Aircraft characteristic information.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105585/Table%201.png
Table 2,Table 2  Metrics of the four algorithms on diﬀerent paths (Unit: s).,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105585/Table%202.png
Table 3,Table 3  Metrics of the four algorithms on diﬀerent paths.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105585/Table%203.png
Table 4,Table 4  Multi-day experiment and improved ant colony algorithm compared conﬂict avoidance results.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105585/Table%204.png
