序号,标题,URL
Paper Cover,Paper Cover,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105508/Paper%20Cover.png
Fig 1,Fig. 1. Interaction maneuver of drivers at mid-block crosswalks.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105508/Fig%201.png
Fig 2,Fig. 2. Interaction maneuver of drivers at intersection crosswalks.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105508/Fig%202.png
Fig 3,Fig. 3. An illustration of our conceptual framework for the one-dimensional case.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105508/Fig%203.png
Fig 4,Fig. 4. Vehicle-pedestrian interaction risk evaluation using VIPR model Wang et al. (2024).,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105508/Fig%204.png
Fig 5,Fig. 5. Transformation from global to ego-vehicle-centric coordinate system.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105508/Fig%205.png
Fig 6,Fig. 6. A generative adversarial imitation learning method for driving behavior modeling.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105508/Fig%206.png
Fig 7,Fig. 7. Agent-environment interaction in driver-pedestrian interaction context.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105508/Fig%207.png
Fig 8,Fig. 8. Aerial bird’s-eye view of the experimental site.(Aerial view in Fig.(d)-Fig.(f) from Xu et al. (2022)),https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105508/Fig%208.png
Fig 9,Fig. 9. Expert trajectories from six diﬀerent site.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105508/Fig%209.png
Fig 10,Fig. 10. Distribution of expert features from two diﬀerent uncontrolled crosswalks.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105508/Fig%2010.png
Fig 11,Fig. 11. Evaluation of vehicle-pedestrian interaction risk at intersection location.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105508/Fig%2011.png
Fig 12,Fig. 12. Evaluation of vehicle-pedestrian interaction risk at mid-block location.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105508/Fig%2012.png
Fig 13,Fig. 13. Expert trajectories in the uniﬁed global coordinate system.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105508/Fig%2013.png
