序号,标题,URL
Paper Cover,Paper Cover,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105503/Paper%20Cover.png
Fig 1,"Fig. 1. Illustration of dynamicity and congestion in route redundancy assessment: (a) Static case & no congestion before disruption, (b) Static case & 
no congestion after disruption, and (c) Dynamic case & congestion after disruption. 
Note that:",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105503/Fig%201.png
Fig 2,Fig. 2. An illustration of the efficient route concept.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105503/Fig%202.png
Fig 3,Fig. 3. Demonstration of the concepts of dynamic redundancy and static redundancy.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105503/Fig%203.png
Fig 4,Fig. 4. The modeling framework of the link-based Weibit-METT DTD model.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105503/Fig%204.png
Fig 5,Fig. 5. The framework of the optimization model.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105503/Fig%205.png
Fig 6,"Fig. 6. The framework of the GP-PSE algorithm. (Note: Details of the GP model, GP-UCB acquisition function, and parallel scenario evaluation are 
provided in Appendix E. The convergence criterion is defined by a maximum number of iterations.)",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105503/Fig%206.png
Fig 7,Fig. 7. Topology of the Braess network and numerical results.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105503/Fig%207.png
Fig 8,"Fig. 8. The 16-node test network (Source: Qu et al., 2025c).",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105503/Fig%208.png
Fig 9,Fig. 9. The boxplots for the dynamic redundancy measure in 15 disruption scenarios under three demand levels with and without improvement.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105503/Fig%209.png
Fig 10,Fig. 10. Comparison of the dynamic redundancy and static redundancy when links 10 and 14 are disrupted.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105503/Fig%2010.png
Fig 11,"Fig. 11. Box plots of link states for selected links over 30 days after the disruption of links 10 and 14: (a) the increase in link flow, (b) the increase 
in METT.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105503/Fig%2011.png
Fig 12,Fig. 12. Demonstration of the effectiveness of two network improvement schemes in improving redundancy when links 10 and 14 are disrupted.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105503/Fig%2012.png
Fig 13,Fig. 13. The number of retrofitted links and newly constructed links under different budgets and disruption probabilities.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105503/Fig%2013.png
