序号,标题,URL
Paper Cover,Paper Cover,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1038-slash-s44284-026-00409-z/Paper%20Cover.png
Fig 1,"Fig. 1 | Air pollution in China’s urban and rural areas during 2013–2016. a–c, We 
show firm-level waste gas emission (a), firm-level waste gas emission intensity (b) 
and 1 km × 1 km grid-level PM2.5 concentration (c) in China’s urban and rural 
areas during 2013–2016. We use the quadratic function to estimate the temporal 
trend, and the data are presented as the estimated mean values (solid lines) ± 95%",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1038-slash-s44284-026-00409-z/Fig%201.png
Fig 2,"Fig. 2 | Air pollution in urban and rural areas in eastern, central and western 
China during 2013–2016. a–c, We show firm-level waste gas emission (a), 
firm-level waste gas emission intensity (b) and 1 km × 1 km grid-level PM2.5 
concentration (c) in urban and rural areas in eastern, central and western China 
separately. We use the quadratic function to estimate the temporal trend, and the",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1038-slash-s44284-026-00409-z/Fig%202.png
Fig 4,"Fig. 4 | Unequal impacts of HSR opening in urban and rural areas over time. 
a–c, We present the unequal impacts of HSR opening in urban and rural areas in 
terms of firm-level waste gas emission intensity (N = 334,893) (a), PM2.5 
concentration (N = 37,869,590) (b) and CVD cumulative deaths (N = 887,855) (c), 
at different time points after HSR opening. The effects are estimated using 
equations (3), (7) and (11). The time window spans from one year after HSR",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1038-slash-s44284-026-00409-z/Fig%204.png
Table 1,Table 1 | Effects of HSR opening on air pollution and public health,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1038-slash-s44284-026-00409-z/Table%201.png
