序号,标题,URL
Paper Cover,Paper Cover,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105672/Paper%20Cover.png
Fig 1,Fig. 1. Overall architecture of the proposed method.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105672/Fig%201.png
Fig 2,Fig. 2. Iterative dynamic prompt optimization process.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105672/Fig%202.png
Fig 3,Fig. 3. The model’s output results before and after dynamic prompt optimization.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105672/Fig%203.png
Fig 4,Fig. 4. The ﬂowchart of the self-collected real dataset construction process.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105672/Fig%204.png
Fig 5,Fig. 5. The text-to-image generation process employed in this paper.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105672/Fig%205.png
Fig 6,Fig. 6. The data synthesis process using pure rendering methods.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105672/Fig%206.png
Fig 7,Fig. 7. The images generated using text prompts by text-to-image methods.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105672/Fig%207.png
Fig 8,Fig. 8. Images generated using pure rendering method.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105672/Fig%208.png
Fig 9,Fig. 9. Long-tail scenarios of traﬃc lights that are easily confused.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105672/Fig%209.png
Table 1,Table 1  Data distribution.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105672/Table%201.png
Table 2,Table 2  Performance of the model optimized using real data.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105672/Table%202.png
Table 3,Table 3  Model performance before and after prompt optimization.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105672/Table%203.png
Table 4,Table 4  Impact of synthetic data on model performance.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105672/Table%204.png
