序号,标题,URL
Paper Cover,Paper Cover,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105686/Paper%20Cover.png
Fig 1,Fig. 1. Joint design of public transit service and policy.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105686/Fig%201.png
Fig 2,Fig. 2. Framework of the multi-agent LLM simulation.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105686/Fig%202.png
Fig 3,Fig. 3. Illustration of the CoT prompt structure. Note that the Statistical Community Info block is only available to knowledge-augmented agents.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105686/Fig%203.png
Fig 4,"Fig. 4. Comparison of 𝑢𝑘, 𝛾𝑘, and 𝐺𝑘 against 𝑈𝑘 for diﬀerent policy conﬁgurations in Chicago.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105686/Fig%204.png
Fig 5,Fig. 5. Voting counts of diﬀerent voting types (single round).,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105686/Fig%205.png
Fig 6,"Fig. 6. Ranked-Choice voting outcomes generated by GPT-4o and Claude-3.5. Scenario CHI-com, ten rounds.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105686/Fig%206.png
Fig 7,"Fig. 7. Ranked-Choice voting outcomes generated by GPT-4o and Claude-3.5. Scenario CHI-know, ten rounds.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105686/Fig%207.png
Fig 8,"Fig. 8. Sentiment scores of rationale texts for CHI-com. GPT-4o vs. Claude-3.5 across ten rounds. The scores range from -1 (perfectly negative tone) 
to 1 (perfectly positive tone). Each column corresponds to a distinct community area in Chicago, ordered by their oﬃcial community area index 
used by the City of Chicago.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105686/Fig%208.png
Fig 9,"Fig. 9. Diﬀerences in the sentiment scores of rationale texts between CHI-know (with contextual information) and CHI-com (without). GPT-4o vs. 
Claude-3.5 agents across ten rounds. Each column corresponds to a distinct community area in Chicago, ordered by their oﬃcial community area 
index used by the City of Chicago.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105686/Fig%209.png
Fig 10,"Fig. 10. Heatmap distribution of average Borda score for CHI-com among 10 rounds, GPT-4o.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105686/Fig%2010.png
Fig 11,"Fig. 11. Heatmap distribution of average Borda score for CHI-know among 10 rounds, GPT-4o.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105686/Fig%2011.png
Fig 12,Fig. 12. Comparison of key sociodemographic attributes in Chicago and Houston.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105686/Fig%2012.png
Fig 13,"Fig. 13. Comparison of 𝑢𝑘, 𝛾𝑘, and 𝐺𝑘 against 𝑈𝑘 for diﬀerent policy conﬁgurations in Houston.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105686/Fig%2013.png
Table 1,Table 1  Key statistics produced by the calibrated model vs. empirical data.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105686/Table%201.png
Table 2,"Table 2  Winning policies, mean policy values and entropy (single round).",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105686/Table%202.png
Table 3,"Table 3  Winning policy, mean entropy values and mean policy values across ten-round referendums.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105686/Table%203.png
Table 4,Table 4  Summary statistics of sociodemographic and travel variables.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105686/Table%204.png
Table 5,"Table 5  Regression results for tax rate, transit fare, and driver fee under GPT-4o and Claude.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105686/Table%205.png
