序号,标题,URL
Paper Cover,Paper Cover,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104593/Paper%20Cover.png
Fig 1,Fig. 1. Illustration of three types of links.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104593/Fig%201.png
Fig 2,Fig. 2. Overall framework of the methodology.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104593/Fig%202.png
Fig 3,Fig. 3. A toy example for the cycling structures.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104593/Fig%203.png
Fig 4,Fig. 4. Illustration of the transfer learning pipeline.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104593/Fig%204.png
Fig 5,Fig. 5. Illustration of the black box function.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104593/Fig%205.png
Fig 6,Fig. 6. Roadmap of the study area.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104593/Fig%206.png
Fig 7,Fig. 7. The network of the study area.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104593/Fig%207.png
Fig 8,"Fig. 8. Eastern Massachusetts network. (Zhu et al., 2022).",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104593/Fig%208.png
Fig 9,Fig. 9. Illustration of the sensor location plan result.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104593/Fig%209.png
Fig 10,Fig. 10. Comparison between ground truth and estimated flow on link 1.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104593/Fig%2010.png
Fig 11,Fig. 11. Comparison between ground truth and estimated flow on link 26.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104593/Fig%2011.png
Fig 12,Fig. 12. Convergence curves of each algorithm (Nanjing).,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104593/Fig%2012.png
Fig 13,Fig. 13. Convergence curves of Embedding-BO for different dictionary sizes.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104593/Fig%2013.png
Fig 14,Fig. 14. Convergence curves of each algorithm (Eastern Massachusetts).,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104593/Fig%2014.png
Fig 15,Fig. 15. Comparison of MAE under different budget levels.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104593/Fig%2015.png
Table 1,Table 1  List of notations.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104593/Table%201.png
Table 2,Table 2  Original data structure of CL records.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104593/Table%202.png
Table 3,Table 3  Original data structure of LPR records.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104593/Table%203.png
Table 4,Table 4  Features used in tree-based model.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104593/Table%204.png
Table 5,Table 5  Estimation performance on all links in the network.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104593/Table%205.png
Table 6,Table 6  Computational results under different budgets.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.tre.2025.104593/Table%206.png
