序号,标题,URL
Paper Cover,Paper Cover,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105260/Paper%20Cover.png
Fig 1,Fig. 1. The dual state space and decision making.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105260/Fig%201.png
Fig 2,Fig. 2. The process of alignment and optimization for dual state space.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105260/Fig%202.png
Fig 3,Fig. 3. Dual State space based Hierarchical Decison Process.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105260/Fig%203.png
Fig 4,Fig. 4. Five strategies that combine LLM and MDPs physical actions.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105260/Fig%204.png
Fig 5,Fig. 5. Workflow of signal control and route planning.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105260/Fig%205.png
Fig 6,Fig. 6. The network-wide average waiting time.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105260/Fig%206.png
Fig 7,Fig. 7. The network-wide average loss.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105260/Fig%207.png
Table 1,Table 1  Techniques of traditional approaches and SSM.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105260/Table%201.png
Table 2,Table 2  Comparative analysis of different models.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2025.105260/Table%202.png
