序号,标题,URL
Paper Cover,Paper Cover,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105692/Paper%20Cover.png
Fig 1,"Fig. 1. UrbanX : an interpretable, MLLM-powered framework for hypothesis-driven urban scientiﬁc discovery.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105692/Fig%201.png
Fig 2,"Fig. 2. The UrbanX framework consists of three iterative modules: (1) Hypothesis Generation using LLMs, (2) Embedding Construction via MLLM-
based VQA on SVIs, and (3) Hypothesis Assessment using interpretable regression analysis.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105692/Fig%202.png
Fig 3,"Fig. 3. Spatial distribution of predicted (left) vs. actual (right) crash rates (log scale) across Manhattan road segments. UrbanX captures key spatial 
patterns in crash risk, including high-risk areas in lower and midtown Manhattan.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105692/Fig%203.png
Fig 4,"Fig. 4. Comparison of Spearman Rank Correlation (𝜌) between UrbanX , Direct VLM Prediction, and Latent Visual Embeddings.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105692/Fig%204.png
Fig 5,"Fig. 5. SHAP summary plot of the regression model with both traditional built environment variables and discovered hypotheses. The right panel 
maps the top hypothesis variables to their natural-language question meanings.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105692/Fig%205.png
Fig 6,"Fig. 6. (Left) Each hypothesis is plotted by its average SHAP value and −log10(𝑝-value) from regression. Variables in the top left are highly signiﬁcant 
and predictive. (Right) Pearson correlation matrix between hypotheses, showing low pairwise correlation and structural independence.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105692/Fig%206.png
Fig 7,"Fig. 7. Robustness analysis. (Left) Convergence of test metrics across diﬀerent LLM and MLLM conﬁgurations. High-capacity MLLMs (78B) yield 
better and faster convergence. (Right) Performance as a function of the number of hypotheses used. Optimal performance is observed at 50 hy-
potheses.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105692/Fig%207.png
Fig 8,Fig. 8. Panoramic SVI used for VQA analysis.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105692/Fig%208.png
Fig 9,"Fig. 9. Cost-accuracy trade-oﬀ for VQA in UrbanX . Normalized inference cost (USD per 1000 VQA calls) is plotted against agreement with human 
consensus labels across model scales. Mid-scale models (8B) approach near-ceiling agreement at substantially lower cost, revealing a clear diminishing-return 
regime..",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105692/Fig%209.png
Fig 10,Fig. 10. Final set of 50 natural-language hypotheses retained by UrbanX after the iterative process.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105692/Fig%2010.png
Table 1,"Table 1  Predictive performance comparison for segment-level crash risk. We benchmark UrbanX  against two cat- egories of baselines: (1) Classical Baselines utilizing 58 expert-curated Built Environment Variables (BEV)  derived from heterogeneous data sources, and (2) Deep Learning Baselines (ResNet50, ViT-B/16) operating  directly on raw pixels. UrbanX  outperforms both the labor-intensive BEV models and the black-box vision  models across all metrics, despite relying solely on unstructured Street View Images. Values represent mean  ± standard deviation. Lower MAE (↓) and RMSE (↓), and higher 𝑅2 (↑), indicate better performance. Best  results are highlighted in bold.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105692/Table%201.png
Table 2,Table 2  Manual audit of MLLM answers for the 50 retained hypotheses.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105692/Table%202.png
Table 3,Table 3  Detailed audit of hypotheses ﬂagged as partially correct or incorrect for the case study in Fig. 8.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105692/Table%203.png
Table 4,"Table 4  Quantitative validation on 2500 hypothesis-image pairs (Overall Accuracy: 89.2%, Cohen’s 𝜅: 0.78). The table below  details the breakdown of the 270 deviations.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105692/Table%204.png
Table 5,Table 5  Summary of built environment variables.,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105692/Table%205.png
Table 6,"Table 6  Predictive performance comparison for segment-level crash risk using Street View Images only. We  compare (1) deep learning baselines that regress crash risk directly from raw pixels (ResNet50, ViT- B/16), and (2) two UrbanX  variants that diﬀer only in the multimodal VQA model used for generating  hypothesis-aligned categorical responses. For this controlled robustness experiment, the ﬁnal hypothesis  set is kept ﬁxed, and only the VQA model is replaced (InternVL2.5-78B vs. Qwen3-VL-4B) before con- structing structured embeddings and performing downstream regression (LR and LGBM). This isolates  the eﬀect of model scale at the measurement stage. Values represent mean ± standard deviation across  cross-validation folds. Lower MAE (↓) and RMSE (↓), and higher 𝑅2 (↑), indicate better performance. Best  results are highlighted in bold.",https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1016-slash-j.trc.2026.105692/Table%206.png
