序号,标题,URL
Paper Cover,Paper Cover,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1038-slash-s42256-026-01189-w/Paper%20Cover.png
Table 1,Table 1 | Performance curves of risk quantification at  varying thresholds,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1038-slash-s42256-026-01189-w/Table%201.png
Table 2,Table 2 | Numeric performance evaluation of GSSM and existing methods,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1038-slash-s42256-026-01189-w/Table%202.png
Table 3,Table 3 | Comparison of detection accuracy and alert timeliness in separate types of safety-critical events,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1038-slash-s42256-026-01189-w/Table%203.png
Fig 1,本地新增文件,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1038-slash-s42256-026-01189-w/Fig%201.png
Fig 2,本地新增文件,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1038-slash-s42256-026-01189-w/Fig%202.png
Fig 3,本地新增文件,https://fastly.jsdelivr.net/gh/wenhspri/academic-images-hosting@paper/10.1038-slash-s42256-026-01189-w/Fig%203.png
